method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 1 0.5 0.5 500 4.944 0.85 3 5
max_pca 1 0.5 0.75 500 1357.958 860.009 105.9 2000
max_pca 2 0.5 0.75 500 353.55 588.763 67.475 139
max_pca 3 0.5 0.75 500 95.97 22.981 59.475 92
max_pca 5 0.5 0.75 500 64.978 11.394 45 64
max_pca 10 0.5 0.75 500 49.906 7.112 37 49
max_pca 20 0.5 0.75 500 37.162 4.845 29 37
min_pca 1 0.5 0.75 500 1977.852 201.199 2000 2000
min_pca 2 0.5 0.75 500 2000 0 2000 2000
min_pca 3 0.5 0.75 500 1996.392 80.677 2000 2000
min_pca 5 0.5 0.75 500 2000 0 2000 2000
min_pca 10 0.5 0.75 500 2000 0 2000 2000
min_pca 20 0.5 0.75 500 2000 0 2000 2000
tpca 0.8 0.5 0.75 500 2000 0 2000 2000
tpca 0.9 0.5 0.75 500 2000 0 2000 2000
tpca 0.95 0.5 0.75 500 2000 0 2000 2000
tpca 0.99 0.5 0.75 500 2000 0 2000 2000
tpca 0.995 0.5 0.75 500 2000 0 2000 2000
tpca 0.999 0.5 0.75 500 2000 0 2000 2000
mix 0.03 0.5 0.75 500 23.846 4.951 14 24
mix 0.1 0.5 0.75 500 20.348 4.489 12 20
mix 0.3 0.5 0.75 500 18.64 4.214 11 18
mix 1 0.5 0.75 500 17.776 4.233 10 17
max_pca 1 0.5 1.5 500 1996.032 73.322 2000 2000
max_pca 2 0.5 1.5 500 2000 0 2000 2000
max_pca 3 0.5 1.5 500 2000 0 2000 2000
max_pca 5 0.5 1.5 500 2000 0 2000 2000
max_pca 10 0.5 1.5 500 2000 0 2000 2000
max_pca 20 0.5 1.5 500 2000 0 2000 2000
min_pca 1 0.5 1.5 500 50.822 90.445 14.475 40
min_pca 2 0.5 1.5 500 53.336 88.896 23.475 46
min_pca 3 0.5 1.5 500 45.308 12.258 24.475 44
min_pca 5 0.5 1.5 500 44.394 8.857 29.475 43
min_pca 10 0.5 1.5 500 42.352 6.003 31.475 42
min_pca 20 0.5 1.5 500 41.118 4.246 33 41
tpca 0.8 0.5 1.5 500 53.336 88.896 23.475 46
tpca 0.9 0.5 1.5 500 41.66 6.289 30.475 41
tpca 0.95 0.5 1.5 500 40.726 4.97 31 40
tpca 0.99 0.5 1.5 500 40.414 4.503 32 40
tpca 0.995 0.5 1.5 500 40.414 4.503 32 40
tpca 0.999 0.5 1.5 500 40.414 4.503 32 40
mix 0.03 0.5 1.5 500 7.588 1.839 5 7
mix 0.1 0.5 1.5 500 7.164 1.692 4 7
mix 0.3 0.5 1.5 500 7.046 1.664 4 7
mix 1 0.5 1.5 500 7.12 1.689 4 7
max_pca 1 0.5 2 500 1391.44 874.669 45.95 2000
max_pca 2 0.5 2 500 1639.026 736.878 78.475 2000
max_pca 3 0.5 2 500 1852.314 501.458 140.425 2000
max_pca 5 0.5 2 500 1981.854 180.796 2000 2000
max_pca 10 0.5 2 500 2000 0 2000 2000
max_pca 20 0.5 2 500 1879.6 453.404 171.475 2000
min_pca 1 0.5 2 500 18.096 89.404 4 12
min_pca 2 0.5 2 500 15.892 7.281 6 15
min_pca 3 0.5 2 500 17.482 5.382 9 16
min_pca 5 0.5 2 500 19.3 4.488 12 19
min_pca 10 0.5 2 500 19.53 3.072 14 19
min_pca 20 0.5 2 500 19.168 2.282 15 19
tpca 0.8 0.5 2 500 15.892 7.281 6 15
tpca 0.9 0.5 2 500 18.74 3.346 13 18
tpca 0.95 0.5 2 500 18.71 2.568 14 18
tpca 0.99 0.5 2 500 18.406 2.329 14 18
tpca 0.995 0.5 2 500 18.406 2.329 14 18
tpca 0.999 0.5 2 500 18.406 2.329 14 18
mix 0.03 0.5 2 500 3.07 0.496 2 3
mix 0.1 0.5 2 500 2.976 0.486 2 3
mix 0.3 0.5 2 500 2.962 0.479 2 3
mix 1 0.5 2 500 2.992 0.498 2 3
max_pca 1 0.3 0.5 500 1131.786 920.565 64 1909.675
max_pca 2 0.3 0.5 500 406.55 673.268 50 118.025
max_pca 3 0.3 0.5 500 92.298 89.827 45 84
max_pca 5 0.3 0.5 500 60.48 12.364 39 59
max_pca 10 0.3 0.5 500 47.164 7.167 34 47
max_pca 20 0.3 0.5 500 35.288 4.78 26.475 35
min_pca 1 0.3 0.5 500 590.884 828.32 38.95 120
min_pca 2 0.3 0.5 500 1054.034 932.259 75.475 188
min_pca 3 0.3 0.5 500 1159.402 919.275 104.9 2000
min_pca 5 0.3 0.5 500 1619.906 742.479 147.475 2000
min_pca 10 0.3 0.5 500 1938.518 328.048 199 2000
min_pca 20 0.3 0.5 500 2000 0 2000 2000
tpca 0.8 0.3 0.5 500 1054.034 932.259 75.475 188
tpca 0.9 0.3 0.5 500 1818.584 544.815 175 2000
tpca 0.95 0.3 0.5 500 1996.36 81.393 2000 2000
tpca 0.99 0.3 0.5 500 1996.4 80.498 2000 2000
tpca 0.995 0.3 0.5 500 1996.4 80.498 2000 2000
tpca 0.999 0.3 0.5 500 1996.4 80.498 2000 2000
